v_over_alpha_c,p_v_2p_half,p_v_2p_three_half
1.000000e-03,1.897060e-06,3.815699e-06
1.266380e-03,3.042340e-06,6.119284e-06
1.603719e-03,4.879027e-06,9.813550e-06
2.030918e-03,7.824510e-06,1.573802e-05
2.571914e-03,1.254811e-05,2.523895e-05
3.257021e-03,2.012313e-05,4.047515e-05
4.124626e-03,3.227053e-05,6.490810e-05
5.223345e-03,5.174946e-05,1.040875e-04
6.614741e-03,8.298287e-05,1.669095e-04
8.376776e-03,1.330588e-04,2.676308e-04
1.060818e-02,2.133312e-04,4.290885e-04
1.343399e-02,3.419752e-04,6.878389e-04
1.701254e-02,5.480512e-04,1.102333e-03
2.154435e-02,8.779417e-04,1.765862e-03
2.728333e-02,1.405460e-03,2.826886e-03
3.455107e-02,2.247518e-03,4.520549e-03
4.375479e-02,3.587880e-03,7.216442e-03
5.541020e-02,5.711777e-03,1.148819e-02
7.017038e-02,9.052754e-03,1.820765e-02
8.886238e-02,1.424665e-02,2.865327e-02
1.125336e-01,2.216815e-02,4.458330e-02
1.425103e-01,3.387772e-02,6.812831e-02
1.804722e-01,5.031151e-02,1.011662e-01
2.285464e-01,7.141777e-02,1.435835e-01
2.894266e-01,9.446814e-02,1.898806e-01
3.665241e-01,1.120756e-01,2.251957e-01
4.641589e-01,1.128242e-01,2.265986e-01
5.878016e-01,8.925648e-02,1.791693e-01
7.443803e-01,5.019280e-02,1.007008e-01
9.426685e-01,1.767333e-02,3.544470e-02
1.193777e+00,3.265794e-03,6.550111e-03
1.511775e+00,2.136380e-04,4.286144e-04
1.914482e+00,4.406689e-09,1.334464e-08
2.424462e+00,3.501528e-06,7.257778e-06
3.070291e+00,7.278971e-07,1.557447e-06
3.888155e+00,3.637514e-08,8.475365e-08
4.923883e+00,2.087447e-10,7.488250e-10
6.235507e+00,4.893715e-11,7.575468e-11
7.896523e+00,4.280147e-12,8.915577e-12
1.000000e+01,6.899735e-12,1.328578e-11
